park_poi_counts,bar_poi_counts,food_poi_counts,grocer_poi_counts,trail_poi_counts
8,30,30,24,0
5,11,30,5,0
6,17,30,12,0
8,30,30,20,0
8,30,30,24,0
9,30,30,22,0
15,30,30,8,0
4,30,30,14,0
7,30,30,23,0
10,30,30,11,0
0,6,30,1,0
2,14,30,7,0
8,30,30,10,0
9,30,30,19,0
4,12,30,1,0
2,10,30,7,0
6,29,30,7,0
4,21,30,2,0
12,4,19,5,0
5,24,30,7,0
6,25,30,8,0
8,5,30,8,0
0,5,30,1,0
0,6,30,0,0
1,6,30,2,0
1,7,30,1,0
3,1,30,3,0
2,3,30,4,0
1,0,0,0,0
1,4,30,5,0
5,1,30,4,0
6,4,28,6,0
3,1,7,1,0
2,6,30,7,0
1,0,2,0,0
9,30,30,8,0
1,7,30,2,0
0,3,30,3,0
1,3,30,3,0
1,4,26,2,0
0,6,30,1,0
0,6,30,3,0
1,5,30,3,0
0,6,30,3,0
1,5,29,0,0
0,5,30,3,0
4,6,30,3,0
14,30,30,19,0
12,30,30,17,0
0,7,30,1,0
15,30,30,21,0
4,9,30,3,0
1,3,30,9,0
2,3,23,9,0
1,3,30,7,0
5,11,23,3,0
1,5,30,5,0
1,3,28,6,0
7,30,30,22,0
6,5,30,8,0
13,30,30,23,0
12,30,30,5,0
10,30,30,5,0
6,12,30,5,0
9,16,30,4,0
15,30,30,18,0
7,5,23,2,0
1,6,30,6,0
7,23,30,7,0
2,15,30,8,0
9,30,30,23,0
4,4,28,1,0
7,10,30,6,0
3,3,28,1,0
7,20,30,3,0
5,13,30,3,0
9,30,30,24,0
0,5,30,0,0
0,13,30,10,0
1,13,30,10,0
13,30,30,22,0
5,4,30,4,0
4,7,27,2,0
10,15,30,7,0
5,10,30,6,0
12,30,30,21,0
8,30,30,26,0
9,13,30,5,0
6,8,27,3,0
5,14,30,5,0
3,12,30,3,0
13,30,30,8,0
13,30,30,18,0
0,6,30,1,0
13,30,30,13,0
0,7,30,1,0
9,30,30,21,0
8,9,30,6,0
4,1,9,0,0
1,2,20,2,0
14,30,30,9,0
11,30,30,22,0
5,1,10,2,0
9,30,30,21,0
3,1,14,3,0
9,30,30,13,0
5,11,30,6,0
2,12,30,9,0
9,16,30,6,0
3,8,30,4,0
9,30,30,20,0
15,30,30,17,0
3,12,30,8,0
2,6,30,6,0
9,30,30,24,0
11,23,30,7,0
10,22,30,7,0
14,30,30,24,0
8,15,30,2,0
10,30,30,9,0
15,30,30,17,0
9,30,30,23,0
14,30,30,23,0
8,29,30,7,0
4,10,30,3,0
5,12,30,2,0
6,15,30,5,0
8,30,30,23,0
11,30,30,23,0
10,18,30,4,0
7,3,20,2,0
12,30,30,20,0
14,30,30,8,0
9,21,30,6,0
7,17,30,10,0
8,20,30,16,0
6,1,12,1,0
0,0,3,0,0
4,1,9,1,0
7,19,30,2,0
8,30,30,20,0
1,3,30,4,0
1,1,5,0,1
10,30,30,23,0
